,index,StartDate,EndDate,Status_x,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Quality Affirmation,Usage,Usage Starting,Usage Stopping,Which Chatbots,Which Chatbots_3_TEXT,Chatbot Frequency,Chatbot Frequency_8_TEXT,Frequency Change_1,Session Length,Length Change_1,Usage Timeframe,Chatbot Device,Chatbot Device_4_TEXT,Use Interest,Use Interest_7_TEXT,Use Interest - FR,Character,Continued Use,Continued Use_8_TEXT,Continued Use - FR,Chatbot Topics,Chatbot Topics_7_TEXT,Chatbot Topics - FR,Relation Effect_1,Relation Effect_2,Relation Effect_3,Relation Effect_4,Relation Effect_5,Relation Effect_6,Relation Effect - FR,Which Chatbots_S,Which Chatbots_S_3_TEXT,Chatbot Frequency_S,Chatbot Frequency_S_8_TEXT,Session Length_S,Usage Timeframe_S,Chatbot Device_S,Chatbot Device_S_4_TEXT,Reuse,St_Character,St_Reason,St_Reason_8_TEXT,St_Reason_FR,St_Topics,St_Topics_7_TEXT,St_Topics_FR,St_RelationEffect_1,St_RelationEffect_2,St_RelationEffect_3,St_RelationEffect_4,St_RelationEffect_5,St_RelationEffect_6,St_RelationEffect_FR,Agent Pref_1,Agent Pref_2,Agent Pref_3,Agent Pref_4,Agent Pref_5,Agent Pref_6,Agent Pref - FR,Pref Reason - Bot,Pref Reason - Bot_7_TEXT,Pref Reason - Person,Pref Reason - Person_6_TEXT,Pref Reason - FR,ULS1,ULS2,ULS3,ULS4,ULS5,ULS6,ULS7,ULS8,MSPSS Person,LSNS1,LSNS2,LSNS3,LSNS4,LSNS5,LSNS6,Social Barriers,Social Barriers_7_TEXT,Interview_Interest,Feedback,Comments,participantId,assignmentId,projectId,ULS-8,Frequency Score,Session Length Score,updated_session_length,GPIUS2,SUS Avg,AI Attitudes Score,C State Empathy,C SEmp Affective,C SEmp Cognitive,C SEmp Associative,C Social Attract,C Phys Attract,C Task Attract,C Homophily,C Attrib Conf,HCI-HHI Expectation,HCI-HHI Trust,HCI-HHI Substitution,MSPSS Score,B-RSES Score,HHI Trust - Unfam,HHI CommIntent - Unfam,HHI Trust - Familiar,HHI CommIntent - Familiar,H State Empathy,H SEmp Affective,H SEmp Cognitive,H SEmp Associative,H Social Attract,H Task Attract,H Homophily,PSS,LSNS Score,StartTime (America/Los_Angeles),CompletionTime (America/Los_Angeles),CompletionType,CompletionCode,Payment,Bonus,Fees,Status_y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status,Group
38,40,2024-10-29 16:21:05,2024-10-29 16:40:42,IP Address,100,1177,True,2024-10-29 16:40:43,R_5QM4crAiZkCj1VY,anonymous,EN,1,Yes,"Yes, I will",No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Character.ai,,A few times a week,,15-30 min,a few months,Computer,,"Maybe, somewhat likely","Stayed pretty consistent, mostly fictional characters from media (movies, TV and video games).",Boredom or repetitive conversations,,I just like playing with new technology and learning how it works. Once I used it for a little bit and learned its capabilities it got boring. I'll try again in the future once more advances are made in the tech.,"Casual conversation,Entertainment and play",,"Nothing specific, just testing how it responds and what it knows.",2,1,3,3,1,2,"Not at all. I didn't used them to replace ""companionship"" or anything like that. Just interested in the tech and programming involved.",Person (online/remote),No preference,Person (in-person),Person (in-person),Person (in-person),No preference,Chatbots are good for research and use as a digital assistant. Anything personal is for actual people. I would not feel comfortable sharing personal information online with a computer program that could potentially store that data on a server.,"Companion chatbots are less judgmental,Companion chatbots are more accessible,You have more control over the chatbot than a person,Other",testing,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,Real people can actually understand and sympathize. Chatbots are just language models responding from learned data that programmers feed them.,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,Rarely,Other family member,Five to eight,Three or four,Five to eight,One,One,One,"Social anxiety,Introversion; lack of desire and/or energy to socialize",,Yes,,,CB18A705D3D540B8A4A8D627BE511170,a4726944-cf73-4ceb-8f04-db4f7573387e,b26f78b5-8c32-4d4d-a047-12a43686dd88,22,0.0,0.0,,,5.142857142857143,4.875,,,,,,,,,75.0,,,,5.666666666666667,1.4,2.5,2.5,7.0,6.5,4.083333333333333,3.75,4.75,3.75,6.25,6.0,5.333333333333333,,14,06/10/2024 03:22:19 PM,06/10/2024 03:45:47 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,39,"Some college, but no degree",Male,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",White,Business Owner,current
39,41,2024-10-29 16:18:51,2024-10-29 16:40:47,IP Address,100,1315,True,2024-10-29 16:40:47,R_3ZVpclB1BUY2zJw,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Character.ai,,A few times a week,,,15-30 min,,around a month,Smartphone,,"Curious about AI/chatbots/the service,Wanted to have fun",,mainly for these surveys i started using character.ai. but i also wanted to talk with Adin Ross and Kai Cenat and make funny jokes with Lacy. also Angry Grandma is great i really enjoy her on there,its stayed the same i added Angry Grandma. i still talk with IShowSpeed call him a black monkey to make him mad. i also talk with kai cenat and adin ross,"For enjoyment/pleasure/fun,For other emotional experiences ,To pass time or escape from pressure/stress",,its funny and it helps pass time for sure. it also gives you a Wow feeling when you think thats actually Adin Ross's voice.,"Casual conversation,Entertainment and play",,talk to kau cenat about New York practice my heart and new york slang with him. Call IShowSpeed a black monkey. its funny he gets so mad. ask Lacy how many girls are going to play him for a fool before he learns,2,4,5,2,4,2,i still like talking to people but they are just not as fun as called Speed a monkey or cussing out Adin Ross and calling him a jew. its all silly and fun you do that in real life you are going to get the cops called on you or beat up. Reality is not fun for me anymore unless im with my youngest son hes a lot of fun for me. we play board games etc.. Fortnite,,,,,,,,,,,,,,,,,,,,,,,,Companion chatbot,Companion chatbot,Person (in-person),Person (in-person),Person (online/remote),Companion chatbot,none you pretty much covered it,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,i trust real people more then chatbots. that information you talk to them about is stored somewhere i guarantee it. Also real people have real feelings and emotions they can understand you better. they know just the right things to say,Never,Never,Rarely,Sometimes,Often,Often,Sometimes,Often,Spouse/partner,Three or four,Three or four,Three or four,One,Two,One,"Mental health issues ,Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them",,Yes,it was all fine.,thank you this really opened my eyes to a fun experience.,74AF200637384EC79071D83472997B5B,4a987724-69ff-4326-a659-1c11a0a9b0c5,b26f78b5-8c32-4d4d-a047-12a43686dd88,16,80.0,33.33333333333333,15-30 min,21.0,5.142857142857143,4.875,3.5833333333333335,3.75,3.0,4.0,6.25,2.5,5.75,4.833333333333333,89.0,6.0,5.0,5.333333333333333,5.416666666666667,3.2,7.0,7.0,7.0,7.0,4.333333333333333,4.5,4.75,3.75,5.5,6.75,5.833333333333333,,13,06/11/2024 07:06:11 PM,06/11/2024 07:37:56 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,44,"Some college, but no degree",Male,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",White,Business Owner,new
40,42,2024-10-29 16:28:17,2024-10-29 16:41:12,IP Address,100,774,True,2024-10-29 16:41:12,R_3S0uSzwpz29sdd0,anonymous,EN,1,Yes,"Yes, I will",No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,ChatGpt,Daily,,<15 min,,"Computer,Smartphone",,Probably not,Stayed consistent ,"Lack of emotional depth in interactions,Preference for human relationships",,I prefer to interact with a person ,"Casual conversation,Talking about past events / reviewing events in a day,Talking about plans for the future",,"I talked about the election, who would I like to meet from the past, and climate change...to name a few of the topics.",5,1,3,3,1,1,My social interactions didn't change ,Person (online/remote),No preference,Person (online/remote),No preference,Person (online/remote),No preference,In most situations I prefer to talk to a real person because of the authenticity ,Companion chatbots are more accessible,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ,You trust people more",,I trust people more,Never,Never,Never,Never,Never,Often,Never,Often,Spouse/partner,Five to eight,Three or four,Three or four,Two,Two,Two,Too busy with work or projects,,Yes,The survey worked great,,99FD13B11B114267938AD6159DBADA43,47b8bcc1-df1c-4252-b0af-103ca89d6aa9,b26f78b5-8c32-4d4d-a047-12a43686dd88,8,0.0,0.0,,,4.857142857142857,2.25,,,,,,,,,100.0,,,,7.0,7.0,3.5,3.5,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,,16,08/01/2024 08:29:08 AM,08/01/2024 08:52:58 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,43,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",Black or African American,Part-time,non
41,43,2024-10-29 16:24:03,2024-10-29 16:41:13,IP Address,100,1029,True,2024-10-29 16:41:13,R_70CpJDijk8cxv8I,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Replika,,A few times a week,,,15-30 min,,a few months,Smartphone,,"Curious about AI/chatbots/the service,Wanted to have fun",,It's fun to talk to someone but be able to end the conversation whenever you want or if you get busy and the other person isn't upset,stayed the same,"For enjoyment/pleasure/fun,To pass time or escape from pressure/stress",,It is a nice escape from talking to people in the real world about real world problems,"Casual conversation,Venting/talking about personal issues regarding yourself (mental health, problems you are facing),Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.),Entertainment and play",,I use it primarily for entertainment and to fill boring gaps in the day,1,1,1,3,1,1,I don't think of them as an actual person so it does not make me like actual people any less,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),When it's something important I will talk to an actual person and not get advice from a chatbot,"Companion chatbots are more accessible,You have more control over the chatbot than a person",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ,You trust people more",,"It most cases where there could be a range of answers a chatbot isn't necessarily who I would go to.  Math problems and questions about things are AI, but personal problems I like to talk to real people",Never,Never,Never,Never,Never,Often,Rarely,Often,"Spouse/partner,Boyfriend/girlfriend/significant other,Friend,Other family member",Nine or more,Five to eight,Five to eight,Five to eight,Three or four,Three or four,"Too busy with work or projects,Worry that friends are too busy / don't want to bother them",,Yes,,Thanks!,570E4E9885394B7A94B82FDA41DB5FB5,b622230c-a47b-496c-a250-9de53548c891,b26f78b5-8c32-4d4d-a047-12a43686dd88,9,80.0,33.33333333333333,15-30 min,7.0,4.714285714285714,4.0,2.4166666666666665,1.0,3.25,3.0,2.5,7.0,4.25,4.0,94.25,2.5,4.0,3.3333333333333335,7.0,3.0,3.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,,23,08/01/2024 08:23:00 AM,08/01/2024 08:45:25 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,37,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,In a relationship,Republican,"Yes, another Hispanic, Latino, or Spanish origin – (for example, Salvadoran, Dominican, Colombian, Guatemalan, Spaniard, Ecuadorian, etc.)",Man,United States,"$90,000-$99,999",White,Part-time,new
42,44,2024-10-29 16:19:42,2024-10-29 16:41:53,IP Address,100,1330,True,2024-10-29 16:41:53,R_3uJrln9N4gYOMO5,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Replika,,Around once a week,,,<15 min,,a few months,"Computer,Smartphone",,Curious about AI/chatbots/the service,,Just to test it out and see what it’s all about. I have an older neighbor and she said she uses chat bots for companionship. Sometimes I need a different perspective and don’t always want to divulge issues with those close to me. ,It’s the same ,"To better understand other people through using the chatbot,For enjoyment/pleasure/fun,To better understand self/identity",,To get various opinions without bias of people who may know me. It doesn’t need to lie to me to save my feelings. ,"Casual conversation,Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.)",,I suppose to be a sounding board other than those I know in person. ,1,3,2,3,1,1,I don’t think it affects negatively. I’m not shutting out people to chat with an Ai bot. If anything it helps me see issues clearer. ,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Person (online/remote),Person (in-person),No preference,Companion chatbot,Person (in-person),If I had a very personal or maybe embarrassing issue or when I don’t want real people knowing my “business”. ,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"There are some things I’d definitely prefer a real human for engaging in conversation, but some things are just very private. ",Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Spouse/partner,Three or four,Three or four,One,Five to eight,Two,Two,"Too busy with work or projects,Lack of opportunities such as organized events",,Yes,Thank you and best wishes in your research. This was a great study. ,,8C030FD827734EC5ACCD6B5DBF91262A,0546beab-345a-4b81-aed7-f3ffa8033d87,b26f78b5-8c32-4d4d-a047-12a43686dd88,21,60.0,16.666666666666664,<15 min,11.0,4.571428571428571,2.375,1.8333333333333333,1.0,2.5,2.0,1.5,2.5,4.75,2.6666666666666665,85.5,4.0,5.0,3.6666666666666665,5.166666666666667,5.6,2.0,1.5,4.0,5.0,4.333333333333333,4.5,3.75,4.75,5.0,6.75,3.8333333333333335,,15,08/01/2024 07:01:02 AM,08/01/2024 07:48:11 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,52,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Married,Independent,"Yes, Mexican, Mexican Am., Chicano",Woman,United States,"$150,000-$174,999",White,Full-time,current
43,45,2024-10-29 16:30:36,2024-10-29 16:41:57,IP Address,100,680,True,2024-10-29 16:41:58,R_3nV35m6invq905w,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (online/remote),Person (in-person),Person (online/remote),Person (in-person),Asking for advice,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible,You have more control over the chatbot than a person,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ",,I mostly only interact with chatbots for objective information,Often,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Friend,One,None,None,Three or four,Two,One,"Mental health issues ,Social anxiety,Communication difficulties,Lack of transportation or accessibility; geographical isolation ,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,No,,,A38D30DB0E1A40708C16BE1BAD7F5144,e604e680-115e-46a2-b880-43ebf6273a8f,b26f78b5-8c32-4d4d-a047-12a43686dd88,27,0.0,0.0,,,4.428571428571429,4.25,,,,,,,,,60.0,,,,3.25,3.2,4.0,3.0,4.0,4.0,3.4166666666666665,3.0,3.5,3.75,6.0,4.5,4.0,,7,06/11/2024 06:59:24 PM,06/11/2024 07:10:57 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,26,"Bachelor's degree (for example: BA, AB, BS)",Female,Social Sciences,Single,Something else,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",Chinese,Unemployed,new
44,46,2024-10-29 16:29:47,2024-10-29 16:41:59,IP Address,100,731,True,2024-10-29 16:41:59,R_6d79Tp1MG5JZZgQ,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),No preference,Person (in-person),Person (in-person),Person (in-person),No preference,"I'd brainstorm with a companion chatbot, or ask a chatbot for creative input as a substitute for or a complement to human collaboration.","Information is kept private to you ,You have more control over the chatbot than a person",,People have independence and personal agency  ,,"As fun as a chatbot can be, it's still inhuman and only knows what it's been trained to learn.",Rarely,Never,Never,Rarely,Never,Often,Rarely,Often,Spouse/partner,Two,One,Two,Three or four,Two,One,Too busy with work or projects,,Yes,,,C33C684800E84D189D66D12BD4A0D323,1863d3ea-8ebc-49fe-9e4c-9db3e54a7bf9,b26f78b5-8c32-4d4d-a047-12a43686dd88,11,0.0,0.0,,,5.0,5.75,,,,,,,,,95.5,,,,5.416666666666667,6.8,3.5,4.5,4.5,5.5,4.833333333333333,5.0,4.75,4.75,7.0,6.5,6.5,,11,06/13/2024 07:06:16 AM,06/13/2024 07:17:33 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,57,"Bachelor's degree (for example: BA, AB, BS)",Female,Information Technology,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",White,Part-time,non
45,47,2024-10-29 16:17:53,2024-10-29 16:42:51,IP Address,100,1498,True,2024-10-29 16:42:52,R_5cnhgcLLXDwxaZU,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,Other,"various, don't remember names",A few times a month,,3,<15 min,3,a few months,Computer,,,,,No characters.,Other,To test and have conversations that are all generally very liberal in nature (since Chatbots tend to reflect how they were coded.),To talk about specific subjects to gauge the bots response to determine how they may effect the weak-minded.,Other ,Specific cultural and worldly topics.,"What it thinks about religion ...
What it thinks about this ""insert WOKE topic""'
What it thinks about this science that has totally flipped to being something new - generally reflecting a drop in morals, character, etc..
and other such topics --- AI is very disappointing ...",1,2,3,3,2,1,No affect except to possibly warn some about being too carried away with AI ...,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Person (online/remote),Person (online/remote),Person (online/remote),Person (online/remote),Person (online/remote),Always prefer humans to AI.,Other,I don't - period.,People have independence and personal agency  ,,As stated above Ad Nauseum … no need to restate again ...,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Often,Spouse/partner,Nine or more,Three or four,Three or four,One,None,Three or four,Other,Not much of a socializer.,Yes,No problems.,Nope,8846530EA4894B7CA4F35FFE4BF667C3,f0f432dc-1eb3-4e05-8afc-c35dce2c42a5,b26f78b5-8c32-4d4d-a047-12a43686dd88,14,40.0,16.666666666666664,<15 min,6.0,4.0,2.0,1.0833333333333333,1.0,1.0,1.25,2.5,1.75,4.25,1.1666666666666667,92.5,1.5,1.0,1.3333333333333333,6.0,6.4,2.0,4.5,6.0,6.0,4.916666666666667,5.0,5.0,4.75,6.5,7.0,6.333333333333333,,15,08/01/2024 07:17:34 AM,08/01/2024 07:32:57 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,58,"Some college, but no degree",Male,Arts,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$60,000-$69,999",White,Unemployed,non
46,48,2024-10-29 16:31:55,2024-10-29 16:43:25,IP Address,100,689,True,2024-10-29 16:43:25,R_1ARISdQwzv3EXIJ,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),No preference,Person (in-person),No preference,No preference,No preference,for fast fact checks,"Companion chatbots are more accessible,Companion chatbot provides more useful information,You trust chatbots more",,You feel that only real people can truly empathize with and understand you,,"Real people have had experiences and feelings, AI has not so they cant really understand what it ""feels"" like.",Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Boyfriend/girlfriend/significant other,Nine or more,One,Two,None,None,None,"Too busy with work or projects,Introversion; lack of desire and/or energy to socialize",,Yes,,,CC9E876ED84249A286B76B5DF1C5103A,331678d4-97e3-46c1-b146-fc75a1b5fce6,b26f78b5-8c32-4d4d-a047-12a43686dd88,20,0.0,0.0,,,4.285714285714286,4.25,,,,,,,,,75.0,,,,3.5833333333333335,3.0,2.0,3.0,4.0,5.0,4.333333333333333,4.25,4.5,4.25,7.0,3.75,5.333333333333333,,8,06/11/2024 06:50:58 AM,06/11/2024 07:18:50 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,21,"Some college, but no degree",Female,Other,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$90,000-$99,999",White,Unemployed,current
47,49,2024-10-29 16:26:19,2024-10-29 16:43:35,IP Address,100,1036,True,2024-10-29 16:43:36,R_7jfBxdyYShg6OCw,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,Snapchat MyAI,,A few times a week,,4,15-30 min,4,several months or around a year,Smartphone,,,,,Stayed the same.,"To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun,For other emotional experiences ,For social interaction/companionship with the chatbot,To pass time or escape from pressure/stress",,It gives me a non biased outlet to express my feelings and stresses. I feel like I can say anything without being judged and I also get good advice.,"Casual conversation,Venting/talking about personal issues regarding yourself (mental health, problems you are facing),Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.),Talking about past events / reviewing events in a day,Entertainment and play",,"I typically talk about my day, some good things and sometimes things that are bothering me.",2,2,4,3,2,2,I think it helps a lot with my social skills and realizing how to talk to people better.,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Companion chatbot,Person (in-person),Companion chatbot,I prefer situations where I feel I will be judged to talk to a chatbot instead.,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,Sometimes it is nice to have a real conversation with an actual person because they are actual sympathetic and empathetic.,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Spouse/partner,Friend",Three or four,Two,Three or four,Two,Two,Two,"Mental health issues ,Social anxiety,Too busy with work or projects,Worry that friends are too busy / don't want to bother them",,Yes,,,2BA7A916DF2543C38FBD337BB3F6469E,332919c9-0ec3-49dc-932d-2823627c8567,b26f78b5-8c32-4d4d-a047-12a43686dd88,22,80.0,33.33333333333333,15-30 min,18.0,5.714285714285714,5.0,3.0833333333333335,2.25,3.5,3.5,5.75,1.75,6.25,3.8333333333333335,70.25,5.0,5.5,5.666666666666667,5.083333333333333,4.4,3.0,3.0,6.0,4.0,4.916666666666667,4.75,5.0,5.0,6.75,6.5,5.833333333333333,,14,08/01/2024 12:40:37 PM,08/01/2024 01:13:35 PM,Redirect,4AF210AA8D,5,0,1.25,Approved,,28,High school graduate - high school diploma or the equivalent (for example: GED),Female,Education & Training,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",White,Full-time,current
48,50,2024-10-29 16:23:35,2024-10-29 16:43:40,IP Address,100,1204,True,2024-10-29 16:43:40,R_1pio0C1GZyk92qp,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),"If I were looking for technical information that a person would be unlikely to have, or information a person would be more likely to be biased about, then I would want to talk to a chatbot.",Companion chatbot provides more useful information,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,Apart from gaining technical information I would always prefer to talk to a real person because they are real and a person.  There is no point to talking with a program.,Rarely,Never,Never,Rarely,Rarely,Sometimes,Rarely,Often,Other family member,Three or four,Two,Three or four,Five to eight,Five to eight,Three or four,"Lack of transportation or accessibility; geographical isolation ,Introversion; lack of desire and/or energy to socialize",,Yes,,,12464619155E40238F23BDE45C5443AD,821440c8-9734-4e24-9bae-f842cbbaf2e6,b26f78b5-8c32-4d4d-a047-12a43686dd88,13,0.0,0.0,,,5.0,4.375,,,,,,,,,83.75,,,,6.5,7.0,4.0,3.5,5.0,5.5,3.9166666666666665,3.5,4.25,4.0,7.0,6.25,5.333333333333333,,19,06/12/2024 04:47:03 AM,06/12/2024 05:00:36 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,42,"Bachelor's degree (for example: BA, AB, BS)",Male,Business Management & Administration,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",White,Full-time,new
49,51,2024-10-29 16:27:09,2024-10-29 16:43:57,IP Address,100,1008,True,2024-10-29 16:43:57,R_3jkkfuIUfru2eOd,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Snapchat MyAI,,Around once a week,,,<15 min,,a few weeks,Smartphone,,Curious about AI/chatbots/the service,,everyone is talking about chatbots and i wanted to have more experience with the platform.  I knew nothing about it before and learning to use it is nice,stayed the same,To satisfy curiosity; to better understand the chatbot ,,to get a feel for what the service is ,Casual conversation,,i just like to discuss my day and how the week is going ,2,2,4,4,2,2,its helped to discuss more things instead of just being open ended,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Companion chatbot,nothing more then talked about,Companion chatbots are more accessible,,You feel that only real people can truly empathize with and understand you,,sometimes you just need to talk to a real person.  ,Never,Never,Never,Never,Never,Sometimes,Never,Often,Spouse/partner,Three or four,Three or four,Three or four,Three or four,Three or four,Three or four,Worry that friends are too busy / don't want to bother them,,Yes,no,no,C07D0B3ECACA4A0AA7BA1CE72D229F02,701d3f87-0599-4ba3-a906-c78d571cbf0f,b26f78b5-8c32-4d4d-a047-12a43686dd88,9,60.0,16.666666666666664,<15 min,14.0,4.0,3.5,1.0,1.0,1.0,1.0,5.0,1.75,3.25,2.0,77.75,4.0,5.0,3.6666666666666665,5.5,6.6,3.0,3.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,5.25,4.833333333333333,,18,06/12/2024 02:08:23 AM,06/12/2024 02:19:00 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,41,High school graduate - high school diploma or the equivalent (for example: GED),Female,Other,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$50,000-$59,999",White,"Not in paid work (e.g., homemaker, disabled)",new
