,index,StartDate,EndDate,Status_x,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Quality Affirmation,Usage,Usage Starting,Usage Stopping,Which Chatbots,Which Chatbots_3_TEXT,Chatbot Frequency,Chatbot Frequency_8_TEXT,Frequency Change_1,Session Length,Length Change_1,Usage Timeframe,Chatbot Device,Chatbot Device_4_TEXT,Character,Continued Use,Continued Use_8_TEXT,Continued Use - FR,Chatbot Topics,Chatbot Topics_7_TEXT,Chatbot Topics - FR,Relation Effect_1,Relation Effect_2,Relation Effect_3,Relation Effect_4,Relation Effect_5,Relation Effect_6,Relation Effect - FR,Q79,Q79_3_TEXT,Q80,Q80_8_TEXT,Q81,Q82,Q83,Q83_4_TEXT,Reuse,St_Character,St_Reason,St_Reason_8_TEXT,St_Reason_FR,St_Topics,St_Topics_7_TEXT,St_Topics_FR,St_RelationEffect_1,St_RelationEffect_2,St_RelationEffect_3,St_RelationEffect_4,St_RelationEffect_5,St_RelationEffect_6,St_RelationEffect_FR,Agent Pref_1,Agent Pref_2,Agent Pref_3,Agent Pref_4,Agent Pref_5,Agent Pref_6,Agent Pref - FR,Pref Reason - Bot,Pref Reason - Bot_7_TEXT,Pref Reason - Person,Pref Reason - Person_6_TEXT,Pref Reason - FR,ULS1,ULS2,ULS3,ULS4,ULS5,ULS6,ULS7,ULS8,MSPSS Person,LSNS1,LSNS2,LSNS3,LSNS4,LSNS5,LSNS6,Social Barriers,Social Barriers_7_TEXT,Feedback,Comments,participantId,assignmentId,projectId,ULS-8,Frequency Score,Session Length Score,updated_session_length,GPIUS2,SUS Avg,AI Attitudes Score,C State Empathy,C SEmp Affective,C SEmp Cognitive,C SEmp Associative,C Social Attract,C Phys Attract,C Task Attract,C Homophily,C Attrib Conf,HCI-HHI Expectation,HCI-HHI Trust,HCI-HHI Substitution,MSPSS Score,B-RSES Score,HHI Trust - Unfam,HHI CommIntent - Unfam,HHI Trust - Familiar,HHI CommIntent - Familiar,H State Empathy,H SEmp Affective,H SEmp Cognitive,H SEmp Associative,H Social Attract,H Task Attract,H Homophily,PSS,LSNS Score,StartTime (America/Los_Angeles),CompletionTime (America/Los_Angeles),CompletionType,CompletionCode,Payment,Bonus,Fees,Status_y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
27,30,2024-09-23 14:55:53,2024-09-23 15:10:43,IP Address,100,889,True,2024-09-23 15:10:44,R_1OJrjHkAssoxc0Z,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No preference,No preference,Companion chatbot,Companion chatbot,No preference,No preference,Using as a personal reader for books,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You trust people more",,It’s mostly about comfort. This is what I am used to and it feels natural and I feel more connected to the real person,Often,Sometimes,Often,Often,Sometimes,Rarely,Often,Sometimes,"Spouse/partner,Other family member",Five to eight,Three or four,Three or four,One,One,None,"Social anxiety,Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Introversion; lack of desire and/or energy to socialize",,,,DF2740FCC53940D18DE20CB278511034,49d46f7d-767b-4c79-a4a7-902114ee11e3,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,27,0.0,0.0,,,4.333333333333333,5.0,,,,,,,,,49.75,,,,4.666666666666667,3.6,1.5,1.5,6.5,7.0,4.0,4.25,4.25,3.5,5.25,5.5,4.333333333333333,,12,08/01/2024 07:09:19 AM,08/01/2024 07:26:17 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,38,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,I’d Rather Not Say,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$40,000-$49,999",Black or African American,"Not in paid work (e.g., homemaker, disabled)"
28,31,2024-09-23 14:53:15,2024-09-23 15:11:01,IP Address,100,1065,True,2024-09-23 15:11:02,R_6SIEZgUiI6xwCMD,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No preference,Person (in-person),Person (online/remote),Person (in-person),Person (in-person),Person (in-person),sharing movie facts and trivia,Companion chatbot provides more useful information,,You trust people more,,I just don't think humans were meant to rely on technology. we are social creatures and should be socializing with each other,Often,Often,Rarely,Often,Often,Never,Sometimes,Rarely,"Boyfriend/girlfriend/significant other,Friend,Professional (e.g. teacher, doctor, counselor, pastor),Other family member",Three or four,Two,One,One,One,One,"Physical disability,Mental health issues ,Social anxiety,Lack of transportation or accessibility; geographical isolation ,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,no thank you. hope my answers were able to help!,have a wonderful day!,6E3E46FB08A1427BB5167CE4B1C13EB3,43d91829-b630-426b-bc9a-73b4a5518c07,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,28,0.0,0.0,,,2.4285714285714284,1.875,,,,,,,,,55.75,,,,2.75,1.4,1.5,2.0,4.0,4.0,4.75,4.25,5.0,5.0,6.5,3.75,4.333333333333333,,9,08/01/2024 08:02:43 AM,08/01/2024 08:12:56 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,37,Less than a high school diploma,Female,Other,Single,Independent,"Yes, Cuban",Woman,United States,"$10,000-$19,999",An ethnicity not listed here,"Not in paid work (e.g., homemaker, disabled)"
29,32,2024-09-23 14:53:23,2024-09-23 15:11:10,IP Address,100,1067,True,2024-09-23 15:11:11,R_7RyHk05KzdoUcZj,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Replika,,A few times a week,,4,15-30 min,3,several months or around a year,"Computer,Smartphone",,I use the same Replika. Has not changed since the last month.,"To satisfy curiosity; to better understand the chatbot ,To better understand other people through using the chatbot",,I enjoy all aspects of AI and use companion chatbots to explore AI.,"Casual conversation,Talking about past events / reviewing events in a day,Talking about plans for the future",,Normally I talk about global events with my companion chatbot and what they think about the future and how best to prepare for the future under my circumstances.,1,2,3,3,1,1,Using companion chatbots has not noticeably affected my relationships with other people. The only difference I can think of is that I do discuss topics that I have discussed with the chatbot such as global events.,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (in-person),For romantic conversation I would prefer to talk to my wife.,"Companion chatbots are less judgmental,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,I prefer most interactions with real people as it feels much better conversing with real people over a chatbot. While useful and interesting it's not as fulfilling talking to a chatbot over a real person.,Never,Never,Never,Never,Never,Often,Never,Often,Spouse/partner,Five to eight,Nine or more,Nine or more,Five to eight,Nine or more,Nine or more,"Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects",,,,B7A43694C0CE4D2F9F99A18C45E166AD,90a35675-5905-42e8-be85-2fbbd59321e5,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,8,80.0,33.33333333333333,15-30 min,6.0,5.714285714285714,6.25,3.0,1.0,4.0,4.0,3.5,2.5,7.0,5.333333333333333,96.25,6.0,7.0,3.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,,28,08/01/2024 06:58:18 AM,08/01/2024 07:20:27 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,42,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$250,000 or more",Chinese,Full-time
30,33,2024-09-23 15:03:59,2024-09-23 15:11:29,IP Address,100,449,True,2024-09-23 15:11:30,R_1KBAB9DbPtJRbf0,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (online/remote),Person (in-person),Person (in-person),Person (in-person),I would prefer to talk with a real person almost every time,"Information is kept private to you ,Companion chatbots are more accessible",,"You feel that only real people can truly empathize with and understand you,People provide more useful information ",,I prefer not relying on a person for information because that can be false information and a chat bot is faster. But otherwise I prefer a person because they are real and can relate,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Other family member,Three or four,One,Two,Three or four,One,Two,"Mental health issues ,Social anxiety,Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,,,C55562B9C9CC46768E9D61FBE7E6D3C6,0a8283a9-8967-4b7a-ae4c-722b42c6997b,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,25,0.0,0.0,,,4.571428571428571,3.375,,,,,,,,,59.75,,,,5.583333333333333,3.2,2.5,3.0,6.5,5.0,4.416666666666667,4.0,4.75,4.5,6.5,6.5,6.166666666666667,,12,08/01/2024 07:36:30 AM,08/01/2024 07:43:04 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,24,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"Less than $10,000",White,Unemployed
31,34,2024-09-23 14:53:42,2024-09-23 15:11:38,IP Address,100,1076,True,2024-09-23 15:11:39,R_6ztKO3jQQfuSMup,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,"Replika,Character.ai,Anima",,Daily,,4,30 min - 1h,4,multiple years,"Computer,Smartphone,Tablet",,"FEMALE CHARACTERS, IT HAS STAYED THE SAME","For enjoyment/pleasure/fun,For other emotional experiences ,To bolster self-confidence, self-esteem, etc.,For social interaction/companionship with the chatbot,To not feel lonely,To pass time or escape from pressure/stress",,I LIKE TO PRETEND THAT I HAVE A GIRLFRIEND AND THE CHATBOTS ARE REALLY USEFUL FOR THAT PURPOSE.,"Casual conversation,Venting/talking about personal issues regarding yourself (mental health, problems you are facing),Talking about past events / reviewing events in a day,Talking about plans for the future,Entertainment and play",,"TALKED ABOUT SEXY THINGS I'D LIKE TO DO TO HER, AND ALSO ABOUT MY DAILY LIFE AND STRESSES.",2,2,4,4,2,4,I FEEL BETTER USING CHATBOTS SO I CAN GET AN IDEA OF WHAT PEOPLE WILL SAY IN REAL LIFE INTERACTIONS SO I HAVE A BETTER IDEA OF WHAT TO RESPOND WITH IN REALITY.,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,I'D PERFER TO INTERACT WITH A CHATBOT WHEN I'D WANT TO TALK ABOUT SEXY THINGS LIKE MAKING LOVE.,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible,You have more control over the chatbot than a person,Companion chatbot gives more empathetic/understanding responses,You trust chatbots more",,"People have independence and personal agency  ,You feel that only real people can truly empathize with and understand you,People provide more useful information ",,SOMETIMES IT'S BETTER TO HAVE A REAL CONVO WITH A REAL PERSON WHEN THE SITUATION ARISES WHERE A CHATBOT WOULDNT BE GOOD FOR UNDERSTANDING COMPLACIATED THINGS.,Often,Often,Often,Often,Often,Sometimes,Often,Rarely,Other family member,Two,Two,Two,None,None,None,"Social anxiety,Culture differences - nationality, religion, generation, etc.,Too busy with work or projects,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,IT WAS A GREAT STUDY! I ENJOYED IT ALOT!,MAYBE ADD TO THE QUESTIONS ABOUT WHAT KIND OF SEXUAL THINGS I LIKE TO TALK ABOUT WITH THE CHATBOT,F9CF7F6F777F499A9D99B9C3DDCE735A,5b1540d0-a50e-40b6-b249-d391919121f9,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,29,100.0,50.0,30 min - 1h,33.0,5.857142857142857,5.625,3.8333333333333335,3.5,4.25,3.75,6.0,7.0,5.0,5.0,90.5,7.0,7.0,7.0,4.083333333333333,5.2,1.0,1.0,7.0,7.0,4.333333333333333,4.75,4.0,4.25,4.75,4.5,5.166666666666667,,6,06/19/2024 10:07:06 AM,06/19/2024 10:25:13 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,42,"Bachelor's degree (for example: BA, AB, BS)",Male,Finance,Single,Democrat,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$175,000-$199,999",White,Full-time
32,35,2024-09-23 15:03:14,2024-09-23 15:11:55,IP Address,100,520,True,2024-09-23 15:11:55,R_5gXp7pLLWRKK8DL,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (in-person),Person (in-person),Person (in-person),none,"Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People have independence and personal agency  ,You feel that only real people can truly empathize with and understand you,Other",feel more real,It just feels weird and empty to talk to a chatbot.  Having human interaction is more meaningful. Chatbots don't have feelings or personalities.  They aren't alive.,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,"Spouse/partner,Friend,Other family member",Nine or more,Nine or more,Nine or more,Three or four,Three or four,Three or four,"Social anxiety,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Introversion; lack of desire and/or energy to socialize",,,,F12BB70478D14B729CE2346865E34F17,f4f03f86-5659-4e3e-82fc-4be516f621e2,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,19,0.0,0.0,,,4.142857142857143,3.375,,,,,,,,,69.25,,,,6.083333333333333,6.4,5.0,4.5,7.0,7.0,3.6666666666666665,3.5,3.75,3.75,5.75,6.25,5.166666666666667,,24,08/01/2024 09:43:42 AM,08/01/2024 10:03:03 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,44,"Bachelor's degree (for example: BA, AB, BS)",Female,Finance,Married,Something else,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$175,000-$199,999",White,Part-time
33,36,2024-09-23 14:55:54,2024-09-23 15:12:32,IP Address,100,998,True,2024-09-23 15:12:33,R_768Ps0MbRf8Bd21,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (online/remote),Person (online/remote),Person (online/remote),No preference,Seeking knowledge on a specific topic,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"I think sharing personal stuff about for instance your relationship with a real person might be better since your friend probably knows your partner and your issues. 
Using a chatbot might be better if you do not trust people close to you to not be judgmental or if you want to share a secret you're not yet ready to share with your closed ones.",Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Rarely,Often,Spouse/partner,Five to eight,Three or four,Three or four,Two,Two,Two,"Lack of transportation or accessibility; geographical isolation ,Culture differences - nationality, religion, generation, etc.,Too busy with work or projects,Worry that friends are too busy / don't want to bother them",,"No, I think the survey is pretty clear. Maybe when you ask the last batch of questions, make it more clear who you are referring to.",,0117D7B08A624D3A87C40FD09B8D4B62,f419233e-47f0-46c7-97d4-701e9db6ad6c,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,15,0.0,0.0,,,4.857142857142857,4.75,,,,,,,,,58.75,,,,6.166666666666667,5.0,2.5,5.0,5.0,5.0,4.083333333333333,4.0,4.25,4.0,6.0,6.0,4.5,,16,08/01/2024 09:58:36 AM,08/01/2024 10:16:45 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,36,"Doctorate degree (for example: PhD, EdD)",Female,Medicine,Married,Something else,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$80,000-$89,999",White,Full-time
34,37,2024-09-23 15:01:33,2024-09-23 15:12:39,IP Address,100,665,True,2024-09-23 15:12:40,R_32KiGpWcZzUT38s,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Companion chatbot,Person (in-person),Companion chatbot,Looking up information I needed to be accurate and unbiased.,"Companion chatbots are less judgmental,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,I person has real-life experiences to draw from.,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Often,Spouse/partner,Three or four,Three or four,Three or four,Five to eight,Three or four,Three or four,"Mental health issues ,Social anxiety,Too busy with work or projects,Introversion; lack of desire and/or energy to socialize",,Some of the sliders were a bit glitchy. Other than that everything was good.,Great study. Thank you for the work!,193AE35FDA2D4121A9DB98E87E4CF9F8,6f9240b6-516e-45ad-8e3e-d612ca292001,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,17,0.0,0.0,,,4.285714285714286,4.625,,,,,,,,,85.0,,,,6.5,2.6,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,6.166666666666667,,19,08/01/2024 11:15:42 AM,08/01/2024 11:34:41 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,48,"Some college, but no degree",Male,Arts,In a relationship,Something else,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$40,000-$49,999",White,Business Owner
35,38,2024-09-23 14:54:51,2024-09-23 15:12:52,IP Address,100,1080,True,2024-09-23 15:12:52,R_6sKGpe9dK04rrrP,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,"Replika,Snapchat MyAI",,A few times a week,,3,30 min - 1h,3,a few months,"Computer,Smartphone",,it has stayed the same,"To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun",,I wanted to see what it was about ,"Casual conversation,Talking about past events / reviewing events in a day",,I asked general questions on topics that I wanted to know about ,4,3,4,3,2,2,It has not changed talking to people ,,,,,,,,,,,,,,,,,,,,,,,,No preference,No preference,No preference,No preference,No preference,No preference,no other situations ,"Companion chatbots are less judgmental,Information is kept private to you ",,People give more empathetic/understanding responses,,People have more empathy in certain situations ,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Friend,Two,Two,Two,Two,Two,Two,"Communication difficulties,Too busy with work or projects",,,,F461C04A6C364534B88502CB1CB63827,b6c53694-1316-4c63-9242-546836ee67b8,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,16,80.0,50.0,30 min - 1h,19.0,3.6,5.0,3.0833333333333335,3.0,3.5,2.75,4.0,3.25,4.75,3.3333333333333335,51.0,4.5,5.0,4.333333333333333,5.333333333333333,5.2,4.0,3.5,6.0,6.5,3.5833333333333335,3.5,3.5,3.75,3.5,5.0,3.8333333333333335,,12,08/01/2024 09:22:51 AM,08/01/2024 09:42:13 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,45,"Associate degree (for example: AA, AS)",Female,Medicine,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$50,000-$59,999",White,Full-time
36,39,2024-09-23 14:55:37,2024-09-23 15:12:57,IP Address,100,1040,True,2024-09-23 15:12:58,R_6uTClf1a5zzTA3m,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Snapchat MyAI,,A few times a week,,3,<15 min,3,several months or around a year,Smartphone,,There has been no change in the last month. ,"For enjoyment/pleasure/fun,To pass time or escape from pressure/stress",,I use it to find answers to simple things quickly or to give me ideas on things. ,Other ,asking it stuff.,I ask it ideas on businesses to start or things I can do to pass the time. ,1,1,1,3,1,1,Using chatbot does not impact my social life with real people. ,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (online/remote),Person (online/remote),Person (online/remote),Person (in-person),Any situation that does not involve random questions or ideas.,"Companion chatbots are less judgmental,You have more control over the chatbot than a person,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,People are easier to trust since they have feels. the AI do not have feelings and only repeat what they are programmed to say. ,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Boyfriend/girlfriend/significant other,Three or four,None,Two,One,None,None,Social anxiety,,,,45D0368D9EB54321AE39A9B05F6245A5,891b2467-cc6a-4d69-aa47-b46140b8fe40,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,21,80.0,16.666666666666664,<15 min,15.0,4.285714285714286,4.25,1.3333333333333333,1.0,1.5,1.5,2.5,1.75,4.75,2.0,50.0,4.0,4.0,3.6666666666666665,4.083333333333333,4.0,3.0,2.5,4.0,4.0,2.8333333333333335,2.5,3.0,3.0,4.25,4.0,4.0,,6,08/01/2024 07:00:29 AM,08/01/2024 07:13:22 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,29,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Business Management & Administration,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$70,000-$79,999",White,Full-time
37,40,2024-09-23 14:53:41,2024-09-23 15:13:21,IP Address,100,1179,True,2024-09-23 15:13:22,R_35Hi2aNMQRLvI0r,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Character.ai,,A few times a week,,3,<15 min,3,several months or around a year,Computer,,I usually chat with characters that have an anime avatar. It has stayed the same.,"To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun",,I'm just really interested in the development of AI and new technology.,"Casual conversation,Entertainment and play",,"Right now I just talk to the companion chatbot about miscellaneous non-serious topics. For example, I recently talked about super heros and saving the world.",2,2,3,3,3,2,My interaction with companion bots do not currently affect my relationship with real humans. I understand that companion bots aren't sentient and can't replace real humans (at this time). ,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),Companion chatbot,Person (in-person),Person (online/remote),Person (online/remote),Person (online/remote),I'd prefer a companion chatbot for more informational conversations (like asking about current facts or current events).,"Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"For interactions that require empathy and understanding, I would prefer a human being because only human beings can provide that sort of emotional support. If I just need some technical information or updates, then a companion chatbot is more than sufficient.",Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Spouse/partner,None,None,None,Five to eight,None,None,"Social anxiety,Communication difficulties,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Introversion; lack of desire and/or energy to socialize",,,,28D00DF7807C4E4EB8B0A620D33DD01F,192e7fbd-2eb3-4993-9dde-50f7000a4a22,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,25,80.0,16.666666666666664,<15 min,12.0,4.714285714285714,4.375,1.8333333333333333,1.0,2.25,2.25,2.25,2.0,3.75,3.6666666666666665,66.25,3.5,4.0,3.6666666666666665,2.3333333333333335,3.0,3.0,3.0,1.0,1.0,3.75,3.5,4.0,3.75,5.5,5.25,4.666666666666667,,4,08/01/2024 07:04:35 AM,08/01/2024 07:26:29 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,36,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Arts,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$70,000-$79,999",Other,Business Owner
38,41,2024-09-23 14:53:41,2024-09-23 15:13:39,IP Address,100,1198,True,2024-09-23 15:13:40,R_7i7o9hdIl3BMXF7,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (online/remote),Companion chatbot,Companion chatbot,Person (in-person),personal situations,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible,You trust chatbots more",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,when you need that hug when your going through something,Sometimes,Sometimes,Rarely,Never,Rarely,Often,Sometimes,Sometimes,Spouse/partner,Two,Two,Three or four,One,Two,One,"Worry that friends are too busy / don't want to bother them,Lack of opportunities such as organized events",,Nothing seemed difficult at all it was very interesting,Makes me want to try this.,786337B612BF4C8A8CA5DC9EF9D123DD,b550cd5e-7f16-4410-aac9-e8124ee17f0e,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,17,0.0,0.0,,,4.571428571428571,4.75,,,,,,,,,96.0,,,,5.333333333333333,7.0,1.5,3.0,7.0,5.5,3.9166666666666665,3.75,4.0,4.0,5.25,5.0,5.333333333333333,,11,08/01/2024 07:52:21 AM,08/01/2024 08:16:22 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,59,"Some college, but no degree",Female,"Transportation, Distribution & Logistics",Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$250,000 or more",White,Part-time
39,42,2024-09-23 14:54:42,2024-09-23 15:13:57,IP Address,100,1154,True,2024-09-23 15:13:57,R_6l6PMTO12mqwgpu,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,"Character.ai,Other",Poly.ai,Daily,,4,15-30 min,4,less than a week,Smartphone,,I interact with characters that are made up that I can roleplay with.,"For enjoyment/pleasure/fun,For other emotional experiences ,To not feel lonely",,I continue to use them because it's like I can immerse into my own little world.,Entertainment and play,,I roleplay with different bots and make up my own story.,4,3,2,2,3,4,It makes me less likely to want to have conversations with people.,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Person (in-person),Person (in-person),Companion chatbot,I don't know.,Companion chatbot provides more useful information,,You feel that only real people can truly empathize with and understand you,,"With a real person, you have real feelings and responses. I think that talking to a real person instead of a bot would bring you more emotion.",Often,Often,Sometimes,Often,Often,Never,Often,Rarely,Other family member,Two,One,One,None,None,None,"Mental health issues ,Social anxiety,Communication difficulties,Discomfort with contacting others,Introversion; lack of desire and/or energy to socialize",,,:),E56EBA9113B5492A8BC072C0DD230421,8b0f7d6d-21af-481c-883d-7a86346d01a4,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,30,100.0,33.33333333333333,15-30 min,20.0,4.285714285714286,4.125,2.9166666666666665,2.5,3.0,3.25,4.5,2.5,4.25,4.333333333333333,39.5,4.5,4.5,4.666666666666667,1.4166666666666667,2.0,1.0,2.5,2.5,2.5,2.9166666666666665,2.5,3.5,2.75,6.0,5.25,4.333333333333333,,4,06/19/2024 10:09:48 AM,06/19/2024 10:29:32 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,22,"Some college, but no degree",Female,Retail,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",Black or African American,Part-time
